PERIOD,ISBN,PT,qty
202503,9781452184821,BK,12
202201,9781452173580,BK,12
202101,9781452163420,BK,12
202411,9780811867887,BK,12
202204,9781452145150,BK,12
202202,9781452144832,BK,12
202112,9780811830904,BK,12
202406,9781452156095,BK,12
202202,9781452150284,BK,12
202103,9781452182827,BK,12
202110,9781452150284,BK,12
202301,9781452145150,BK,12
202407,9781452147383,FT,12
202103,9781452159249,BK,12
202112,9781452144832,BK,13
202007,9781452179599,FT,13
202301,9781452179933,BK,13
202309,9780811865425,BK,13
202005,9781452106960,BK,13
202308,9781452154435,BK,13
202209,9781452179933,BK,13
202412,9781452165110,FT,13
202306,9781452178844,BK,13
202309,9781616895778,BK,13
202312,9781452150284,BK,13
202111,9781452100555,FT,13
202310,9781452178844,BK,13
202006,9781452172569,FT,13
202304,9781797201184,BK,13
202307,9781452150284,BK,13
202310,9781452156453,BK,13
202111,9781452162812,BK,13
202502,9781452144832,BK,13
202410,9781452150284,BK,13
202501,9781452179933,BK,13
202302,9781797201184,BK,13
202205,9781452178752,FT,13
202212,9781452182759,BK,13
202004,9780811855051,BK,13
202111,9781452178752,FT,13
202402,9781452155067,FT,13
202302,9781452150284,BK,13
202502,9781452156378,BK,13
202102,9781452131566,BK,13
202006,9780811875141,BK,13
202405,9781452136219,BK,13
202311,9781452159249,BK,13
202406,9781452145150,BK,13
202407,9781452156453,BK,13
202501,9781452145150,BK,13
202109,9781452145150,BK,13
202004,9781452163420,BK,13
202304,9781452146614,BK,13
202004,9781452159249,BK,14
202208,9780811830904,BK,14
202004,9781452175799,FT,14
202408,9781452159249,BK,14
202005,9780811877572,FT,14
202401,9781452147383,FT,14
202212,9781452159249,BK,14
202007,9781452178844,BK,14
202106,9780811852364,BK,14
202004,9781452168401,BK,14
202306,9781452169132,BK,14
202110,9781452168920,BK,14
202203,9781452169507,BK,14
202206,9781452182759,BK,14
202409,9781452166131,BK,14
202503,9781452145150,BK,14
202107,9781452127132,BK,14
202202,9781452102108,FT,14
202404,9781452159249,BK,14
202502,9781452150284,BK,14
202005,9781452152103,BK,14
202403,9781452178844,BK,14
202408,9780811814928,BK,14
202004,9781452173474,BK,14
202105,9781452137391,FT,14
202109,9781452134345,FT,14
202409,9781452162904,BK,14
202306,9780811875141,BK,14
202311,9781452124834,BK,14
202110,9781452172514,FT,14
202111,9781452147383,FT,14
202008,9781452162904,BK,14
202405,9781452150284,BK,14
202202,9780811866095,BK,14
202401,9781452179933,BK,14
202208,9781452163420,BK,14
202305,9781616891473,FT,14
202107,9781452159249,BK,14
202204,9781452182216,BK,14
202308,9781452173580,BK,14
202109,9781452168920,BK,14
202306,9781452145808,FT,14
202505,9780811822176,FT,14
202102,9781797201184,BK,14
202412,9781452145150,BK,14
202108,9781452152103,BK,15
202210,9781452159249,BK,15
202009,9781452106199,BK,15
202309,9781452178844,BK,15
202302,9781452179933,BK,15
202310,9781452145150,BK,15
202111,9781452150284,BK,15
202202,9780811873444,BK,15
202402,9780811830904,BK,15
202108,9781452156378,BK,15
202110,9781452164786,FT,15
202308,9780811855051,BK,15
202309,9781452172736,FT,15
202102,9781452181950,FT,15
202012,9781452178752,FT,15
202501,9781452124834,BK,15
202003,9781452148991,BK,15
202004,9780811873444,BK,15
202102,9781452144832,BK,15
202302,9780811822176,FT,15
202202,9781452179568,FT,15
202306,9781616891473,FT,15
202412,9780811834155,BK,15
202205,9781452162904,BK,15
202102,9781452159249,BK,15
202312,9781452172583,FT,15
202405,9781452145150,BK,15
202012,9781452159256,BK,15
202002,9781452179568,FT,15
202110,9781452167275,FT,15
202203,9781452145150,BK,15
202111,9781452145686,BK,15
202410,9781452124834,BK,15
202310,9780811855051,BK,15
202109,9781452172583,FT,15
202502,9780811822176,FT,16
202408,9781452145150,BK,16
202107,9781452172903,FT,16
202410,9781452147383,FT,16
202503,9781452132600,BK,16
202207,9780811822176,FT,16
202406,9781452179933,BK,16
202412,9781452179933,BK,16
202004,9781452172743,FT,16
202402,9781452152103,BK,16
202305,9781452147383,FT,16
202408,9780811830904,BK,16
202409,9780811864794,BK,16
202407,9780811823319,BK,16
202210,9781452127132,BK,16
202402,9781452169132,BK,16
202208,9781452164366,BK,16
202010,9781452173832,BK,16
202312,9780811830904,BK,16
202006,9780811847742,BK,16
202108,9781452178844,BK,16
202111,9781452153476,BK,16
202302,9781452182759,BK,16
202410,9781452161167,BK,16
202106,9781452135366,BK,16
202401,9781452182827,BK,16
202501,9781452182759,BK,16
202010,9781452125787,BK,16
202004,9781452159492,FT,16
202203,9781452159249,BK,16
202411,9781452169132,BK,16
202009,9781452154787,FT,16
202403,9781452170145,BK,16
202304,9781452141251,BK,16
202502,9781616896690,BK,16
202406,9781452152103,BK,16
202005,9781452159270,BK,16
202005,9781452127132,BK,16
202305,9780811822176,FT,17
202208,9781452179933,BK,17
202208,9781452173580,BK,17
202105,9781452135366,BK,17
202105,9781452159249,BK,17
202005,9781452172569,FT,17
202212,9781452144832,BK,17
202503,9781452178752,FT,17
202403,9781452159249,BK,17
202312,9781452170152,FT,17
202005,9780811810968,FT,17
202201,9781452173764,FT,17
202208,9781452178844,BK,17
202408,9781452178752,FT,17
202101,9781452178752,FT,17
202303,9781452159249,BK,17
202311,9780811830904,BK,17
202005,9781452180915,FT,17
202106,9780811871075,BK,17
202403,9781452138916,BK,17
202310,9781452144832,BK,17
202409,9781452179933,BK,17
202008,9780811863551,BK,17
202503,9781616896928,BK,17
202410,9781452178844,BK,17
202206,9780811865425,BK,17
202411,9781452179933,BK,17
202206,9781452140193,BK,17
202405,9781452127132,BK,17
202401,9781452150147,BK,17
202206,9781452145150,BK,18
202411,9781452173580,BK,18
202004,9781452102108,FT,18
202309,9781452169132,BK,18
202305,9780811814928,BK,18
202005,9780811850742,FT,18
202204,9781452173580,BK,18
202205,9781452179636,FT,18
202003,9781452179933,BK,18
202403,9780811830904,BK,18
202005,9781452134345,FT,18
202204,9781452162904,BK,18
202004,9780811877473,BK,18
202307,9781452178752,FT,18
202201,9781452178752,FT,18
202402,9780811811217,BK,18
202405,9780811839167,BK,18
202108,9781452169132,BK,18
202412,9781452144832,BK,18
202309,9780811814928,BK,18
202404,9781452150284,BK,18
202112,9780811822176,FT,18
202205,9781452153476,BK,18
202402,9781452178752,FT,18
202108,9781452168920,BK,18
202003,9781452172569,FT,18
202101,9781452150284,BK,18
202308,9781452178752,FT,18
202403,9781452147383,FT,18
202305,9781452145150,BK,18
202310,9781452150284,BK,18
202107,9781452172743,FT,18
202407,9781452150147,BK,18
202502,9781452173580,BK,18
202412,9781452125787,BK,18
202105,9781452145150,BK,18
202504,9781452159249,BK,18
202402,9781452173580,BK,19
202103,9781452137391,FT,19
202207,9780811823319,BK,19
202410,9781452171388,FT,19
202204,9781452149578,FT,19
202205,9780811874953,BK,19
202405,9781452100555,FT,19
202207,9781452145051,FT,19
202112,9781452159249,BK,19
202004,9780811867887,BK,19
202311,9780811865425,BK,19
202304,9781452182759,BK,19
202203,9780811863711,FT,19
202402,9781452134345,FT,19
202502,9781452169507,BK,19
202005,9780811847742,BK,19
202209,9781452150284,BK,19
202304,9781452156378,BK,19
202301,9781452182759,BK,19
202211,9781452178752,FT,19
202406,9781616896690,BK,19
202303,9780811830904,BK,19
202503,9781452159249,BK,19
202310,9781452159492,FT,19
202210,9780811822176,FT,19
202201,9781452167275,FT,19
202107,9781452145150,BK,19
202012,9781452163420,BK,19
202401,9781452144832,BK,19
202110,9781452173832,BK,19
202208,9780811863537,BK,20
202103,9780811822176,FT,20
202501,9781452144832,BK,20
202311,9781452117348,FT,20
202410,9781452131566,BK,20
202102,9780811855051,BK,20
202312,9781452179933,BK,20
202301,9781452152103,BK,20
202207,9781452178844,BK,20
202412,9781452150284,BK,20
202006,9781452102108,FT,20
202209,9780811822176,FT,20
202003,9781452144832,BK,20
202503,9781452125787,BK,20
202005,9781452140193,BK,20
202211,9781452179933,BK,20
202504,9780811830904,BK,20
202004,9781452158808,FT,20
202312,9781452159249,BK,20
202006,9781452150284,BK,20
202407,9781452150284,BK,20
202404,9781452147383,FT,20
202105,9781452182759,BK,20
202301,9781452159249,BK,20
202204,9781452178844,BK,20
202403,9781452165110,FT,21
202009,9781452150284,BK,21
202403,9781452134345,FT,21
202407,9781452152103,BK,21
202408,9781452166131,BK,21
202003,9781452165042,BK,21
202201,9781452156125,BK,21
202401,9781452119038,BK,21
202203,9781452144832,BK,21
202004,9781587170003,BK,21
202302,9781452159249,BK,21
202307,9781452132600,BK,21
202504,9781452132600,BK,21
202311,9781452145150,BK,21
202107,9781452178844,BK,21
202010,9781452131566,BK,21
202404,9781452100555,FT,21
202211,9781452144832,BK,21
202201,9781452147383,FT,21
202204,9781452144832,BK,21
202004,9781452174426,FT,21
202307,9781452179933,BK,21
202109,9780811811217,BK,21
202501,9781452159249,BK,21
202201,9781452166469,BK,21
202206,9780811823319,BK,21
202101,9781452180960,BK,21
202004,9780811852364,BK,21
202306,9781452150284,BK,21
202110,9781452159249,BK,21
202004,9781452140193,BK,21
202201,9781452150284,BK,21
202312,9781616897123,BK,21
202408,9780811867887,BK,21
202505,9781452178844,BK,21
202408,9781452182759,BK,21
202406,9781452136219,BK,21
202004,9781452133218,BK,21
202501,9781452169132,BK,22
202504,9781452144832,BK,22
202201,9781452179933,BK,22
202407,9781452156484,BK,22
202006,9781452167275,FT,22
202201,9780811851534,FT,22
202203,9781452179650,FT,22
202311,9780811851534,FT,22
202110,9781452144832,BK,22
202004,9781452108162,BK,22
202102,9781452117348,FT,22
202309,9780811822176,FT,22
202004,9780811869591,FT,22
202211,9781452127132,BK,22
202501,9781452167763,BK,22
202309,9781452179933,BK,22
202212,9781452163420,BK,22
202102,9780811840460,BK,22
202301,9781452151601,BK,23
202407,9781452145150,BK,23
202409,9781452102108,FT,23
202406,9781452173580,BK,23
202005,9781452172583,FT,23
202403,9780811864817,BK,23
202110,9780811810968,FT,23
202408,9781452136219,BK,23
202010,9780811830904,BK,23
202410,9781452159249,BK,23
202207,9781452101286,BK,23
202410,9781452154435,BK,23
202208,9781452178752,FT,23
202305,9781452141978,BK,23
202011,9780811834155,BK,23
202005,9781452174426,FT,23
202409,9781452161167,BK,23
202205,9781452156378,BK,23
202401,9781452159102,FT,23
202003,9781452169507,BK,23
202004,9781452125787,BK,23
202002,9781452162904,BK,23
202503,9781452179933,BK,23
202503,9781452151779,FT,23
202208,9781452172743,FT,23
202411,9781452141251,BK,23
202303,9781452178844,BK,23
202106,9781452182759,BK,23
202201,9780811873444,BK,23
202201,9781452183022,FT,23
202309,9781452163307,BK,23
202309,9781452150284,BK,23
202306,9780811823319,BK,23
202406,9781452159249,BK,23
202205,9781452150284,BK,23
202011,9780811864794,BK,23
202302,9781452152103,BK,23
202208,9780811811217,BK,23
202102,9780811830904,BK,23
202410,9780811830904,BK,23
202110,9781452174136,BK,24
202405,9781616896690,BK,24
202304,9781452152103,BK,24
202106,9781452173580,BK,24
202409,9781452180915,FT,24
202504,9781452145280,BK,24
202310,9780811830904,BK,24
202104,9781452114415,BK,24
202208,9781452156378,BK,24
202004,9781452102214,BK,24
202106,9781452137391,FT,24
202504,9781452152103,BK,24
202004,9781452172569,FT,24
202104,9781452159256,BK,24
202207,9781452172743,FT,24
202108,9781452159249,BK,24
202312,9781452124834,BK,24
202104,9781452182759,BK,24
202504,9781452170145,BK,24
202210,9781452154794,FT,24
202004,9780811877558,FT,24
202412,9781452159249,BK,24
202102,9781452161242,FT,24
202207,9781452179636,FT,24
202304,9781452102108,FT,24
202210,9781452150284,BK,24
202111,9781452169132,BK,24
202409,9781452148991,BK,24
202006,9781452156453,BK,24
202106,9781452178844,BK,25
202111,9780811822176,FT,25
202312,9781452152103,BK,25
202102,9781452173832,BK,25
202501,9781452150284,BK,25
202112,9781452148991,BK,25
202111,9781452144832,BK,25
202405,9781452161341,BK,25
202109,9781452173580,BK,25
202005,9781452174136,BK,25
202203,9781452178844,BK,25
202309,9781452124834,BK,25
202107,9781452151779,FT,25
202207,9781452160986,FT,25
202205,9781452100555,FT,25
202403,9781452150284,BK,25
202108,9781452169507,BK,25
202004,9781452155951,BK,25
202410,9781452125787,BK,25
202010,9781452102108,FT,25
202101,9781452182827,BK,25
202305,9781452117263,BK,25
202202,9781452155951,BK,25
202109,9780811814928,BK,25
202411,9780811864794,BK,25
202205,9781452141978,BK,25
202403,9781452173580,BK,25
202405,9781452159249,BK,25
202004,9781452172583,FT,25
202009,9780811865432,BK,25
202212,9780811823319,BK,25
202011,9781452129013,BK,25
202005,9781452168647,FT,25
202008,9781452178752,FT,25
202108,9781452173580,BK,25
202008,9781452178844,BK,25
202109,9781452156484,BK,25
202205,9781452164892,FT,25
202303,9781452159256,BK,25
202004,9781452159270,BK,26
202405,9780811811217,BK,26
202311,9781452179933,BK,26
202108,9781452164786,FT,26
202109,9780811822176,FT,26
202205,9781452102986,BK,26
202001,9781452150284,BK,26
202012,9781452150284,BK,26
202005,9780811876971,FT,26
202412,9781452158228,BK,26
202412,9780811830904,BK,26
